// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 15 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore --nodeReuse:false /p:UseSharedCompilation=false /p:Deterministic=true /p:Optimize=true /p:ArtifactsPath="/home/paff/Projects/WinForward/benchmarks/WinForward.Benchmarks/bin/Release/net10.0/WinForward.Benchmarks-ShortRun-1/" /p:OutDir="/home/paff/Projects/WinForward/benchmarks/WinForward.Benchmarks/bin/Release/net10.0/WinForward.Benchmarks-ShortRun-1/bin/Release/net10.0/" /p:OutputPath="/home/paff/Projects/WinForward/benchmarks/WinForward.Benchmarks/bin/Release/net10.0/WinForward.Benchmarks-ShortRun-1/bin/Release/net10.0/" /p:PublishDir="/home/paff/Projects/WinForward/benchmarks/WinForward.Benchmarks/bin/Release/net10.0/WinForward.Benchmarks-ShortRun-1/publish/" in /home/paff/Projects/WinForward/benchmarks/WinForward.Benchmarks/bin/Release/net10.0/WinForward.Benchmarks-ShortRun-1
// command took 2.85 sec and exited with 0
// start dotnet  build -c Release --no-restore --nodeReuse:false /p:UseSharedCompilation=false /p:Deterministic=true /p:Optimize=true /p:ArtifactsPath="/home/paff/Projects/WinForward/benchmarks/WinForward.Benchmarks/bin/Release/net10.0/WinForward.Benchmarks-ShortRun-1/" /p:OutDir="/home/paff/Projects/WinForward/benchmarks/WinForward.Benchmarks/bin/Release/net10.0/WinForward.Benchmarks-ShortRun-1/bin/Release/net10.0/" /p:OutputPath="/home/paff/Projects/WinForward/benchmarks/WinForward.Benchmarks/bin/Release/net10.0/WinForward.Benchmarks-ShortRun-1/bin/Release/net10.0/" /p:PublishDir="/home/paff/Projects/WinForward/benchmarks/WinForward.Benchmarks/bin/Release/net10.0/WinForward.Benchmarks-ShortRun-1/publish/" --output "/home/paff/Projects/WinForward/benchmarks/WinForward.Benchmarks/bin/Release/net10.0/WinForward.Benchmarks-ShortRun-1/bin/Release/net10.0/" in /home/paff/Projects/WinForward/benchmarks/WinForward.Benchmarks/bin/Release/net10.0/WinForward.Benchmarks-ShortRun-1
// command took 35.88 sec and exited with 0
// ***** Done, took 00:00:38 (38.88 sec)   *****
// Found 15 benchmarks:
//   FrameworkSetupBenchmarks.RealTransport_CreateDisposeAsync: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Sessions=1]
//   FrameworkSetupBenchmarks.Control_ConnectDisposeAsync: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Sessions=1]
//   FrameworkSetupBenchmarks.Control_ConnectAssociateDisposeAsync: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Sessions=1]
//   FrameworkSetupBenchmarks.RelaySocket_CreateBindClose: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Sessions=1]
//   FrameworkSetupBenchmarks.SelfTraffic_RegisterRelease: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Sessions=1]
//   FrameworkSetupBenchmarks.RealTransport_CreateDisposeAsync: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Sessions=100]
//   FrameworkSetupBenchmarks.Control_ConnectDisposeAsync: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Sessions=100]
//   FrameworkSetupBenchmarks.Control_ConnectAssociateDisposeAsync: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Sessions=100]
//   FrameworkSetupBenchmarks.RelaySocket_CreateBindClose: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Sessions=100]
//   FrameworkSetupBenchmarks.SelfTraffic_RegisterRelease: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Sessions=100]
//   FrameworkSetupBenchmarks.RealTransport_CreateDisposeAsync: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Sessions=1000]
//   FrameworkSetupBenchmarks.Control_ConnectDisposeAsync: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Sessions=1000]
//   FrameworkSetupBenchmarks.Control_ConnectAssociateDisposeAsync: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Sessions=1000]
//   FrameworkSetupBenchmarks.RelaySocket_CreateBindClose: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Sessions=1000]
//   FrameworkSetupBenchmarks.SelfTraffic_RegisterRelease: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Sessions=1000]

// **************************
// Benchmark: FrameworkSetupBenchmarks.RealTransport_CreateDisposeAsync: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Sessions=1]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet WinForward.Benchmarks-ShortRun-1.dll --anonymousPipes 150 151 --benchmarkName "WinForward.Benchmarks.Perf.FrameworkSetupBenchmarks.RealTransport_CreateDisposeAsync(Sessions: 1)" --job ShortRun --benchmarkId 0 in /home/paff/Projects/WinForward/benchmarks/WinForward.Benchmarks/bin/Release/net10.0/WinForward.Benchmarks-ShortRun-1/bin/Release/net10.0
// Failed to set up high priority (Permission denied). In order to run benchmarks with high priority, make sure you have the right permissions.
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.15.8
// Runtime=.NET 10.0.12 (10.0.12, 10.0.1226.42308), X64 RyuJIT x86-64-v4
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX512 BITALG+VBMI2+VNNI+VPOPCNTDQ,AVX512 IFMA+VBMI,AVX512 F+BW+CD+DQ+VL,AVX2+BMI1+BMI2+F16C+FMA+LZCNT+MOVBE,AVX,SSE3+SSSE3+SSE4.1+SSE4.2+POPCNT,X86Base+SSE+SSE2,AES+PCLMUL,AvxVnni VectorSize=256
// Job: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)

OverheadJitting  1: 1 op, 440810.00 ns, 440.8100 us/op
WorkloadJitting  1: 1 op, 57190264.00 ns, 57.1903 ms/op

WorkloadPilot    1: 2 op, 4001559.00 ns, 2.0008 ms/op
WorkloadPilot    2: 3 op, 5362229.00 ns, 1.7874 ms/op
WorkloadPilot    3: 4 op, 6526753.00 ns, 1.6317 ms/op
WorkloadPilot    4: 5 op, 7225142.00 ns, 1.4450 ms/op
WorkloadPilot    5: 6 op, 9208047.00 ns, 1.5347 ms/op
WorkloadPilot    6: 7 op, 10646760.00 ns, 1.5210 ms/op
WorkloadPilot    7: 8 op, 12221039.00 ns, 1.5276 ms/op
WorkloadPilot    8: 9 op, 13872548.00 ns, 1.5414 ms/op
WorkloadPilot    9: 10 op, 16685308.00 ns, 1.6685 ms/op
WorkloadPilot   10: 11 op, 17214331.00 ns, 1.5649 ms/op
WorkloadPilot   11: 12 op, 18540486.00 ns, 1.5450 ms/op
WorkloadPilot   12: 13 op, 19612058.00 ns, 1.5086 ms/op
WorkloadPilot   13: 14 op, 21014954.00 ns, 1.5011 ms/op
WorkloadPilot   14: 15 op, 23776120.00 ns, 1.5851 ms/op
WorkloadPilot   15: 16 op, 25490587.00 ns, 1.5932 ms/op
WorkloadPilot   16: 32 op, 55352158.00 ns, 1.7298 ms/op
WorkloadPilot   17: 64 op, 100779014.00 ns, 1.5747 ms/op
WorkloadPilot   18: 128 op, 200071555.00 ns, 1.5631 ms/op
WorkloadPilot   19: 256 op, 406041095.00 ns, 1.5861 ms/op
WorkloadPilot   20: 512 op, 776884538.00 ns, 1.5174 ms/op

WorkloadWarmup   1: 512 op, 750017446.00 ns, 1.4649 ms/op
WorkloadWarmup   2: 512 op, 737157581.00 ns, 1.4398 ms/op
WorkloadWarmup   3: 512 op, 748245334.00 ns, 1.4614 ms/op

// BeforeActualRun
WorkloadActual   1: 512 op, 759350870.00 ns, 1.4831 ms/op
WorkloadActual   2: 512 op, 751589166.00 ns, 1.4679 ms/op
WorkloadActual   3: 512 op, 741348811.00 ns, 1.4479 ms/op

// AfterActualRun
WorkloadResult   1: 512 op, 759350870.00 ns, 1.4831 ms/op
WorkloadResult   2: 512 op, 751589166.00 ns, 1.4679 ms/op
WorkloadResult   3: 512 op, 741348811.00 ns, 1.4479 ms/op
// GC:  0 0 0 4174432 512
// Threading:  1548 0 512

// AfterAll
// Benchmark Process 895661 has exited with code 0.

Mean = 1.466 ms, StdErr = 0.010 ms (0.69%), N = 3, StdDev = 0.018 ms
Min = 1.448 ms, Q1 = 1.458 ms, Median = 1.468 ms, Q3 = 1.476 ms, Max = 1.483 ms
IQR = 0.018 ms, LowerFence = 1.432 ms, UpperFence = 1.502 ms
ConfidenceInterval = [1.145 ms; 1.788 ms] (CI 99.9%), Margin = 0.322 ms (21.94% of Mean)
Skewness = -0.09, Kurtosis = 0.67, MValue = 2

// ** Remained 14 (93.3%) benchmark(s) to run. Estimated finish 2026-09-22 11:56 (0h 1m from now) **
// **************************
// Benchmark: FrameworkSetupBenchmarks.Control_ConnectDisposeAsync: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Sessions=1]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet WinForward.Benchmarks-ShortRun-1.dll --anonymousPipes 150 151 --benchmarkName "WinForward.Benchmarks.Perf.FrameworkSetupBenchmarks.Control_ConnectDisposeAsync(Sessions: 1)" --job ShortRun --benchmarkId 1 in /home/paff/Projects/WinForward/benchmarks/WinForward.Benchmarks/bin/Release/net10.0/WinForward.Benchmarks-ShortRun-1/bin/Release/net10.0
// Failed to set up high priority (Permission denied). In order to run benchmarks with high priority, make sure you have the right permissions.
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.15.8
// Runtime=.NET 10.0.12 (10.0.12, 10.0.1226.42308), X64 RyuJIT x86-64-v4
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX512 BITALG+VBMI2+VNNI+VPOPCNTDQ,AVX512 IFMA+VBMI,AVX512 F+BW+CD+DQ+VL,AVX2+BMI1+BMI2+F16C+FMA+LZCNT+MOVBE,AVX,SSE3+SSSE3+SSE4.1+SSE4.2+POPCNT,X86Base+SSE+SSE2,AES+PCLMUL,AvxVnni VectorSize=256
// Job: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)

OverheadJitting  1: 1 op, 389905.00 ns, 389.9050 us/op
WorkloadJitting  1: 1 op, 31992072.00 ns, 31.9921 ms/op

OverheadJitting  2: 16 op, 373615.00 ns, 23.3509 us/op
WorkloadJitting  2: 16 op, 16496190.00 ns, 1.0310 ms/op

WorkloadPilot    1: 16 op, 15048980.00 ns, 940.5613 us/op
WorkloadPilot    2: 32 op, 30540292.00 ns, 954.3841 us/op
WorkloadPilot    3: 64 op, 61348004.00 ns, 958.5626 us/op
WorkloadPilot    4: 128 op, 120893456.00 ns, 944.4801 us/op
WorkloadPilot    5: 256 op, 250088503.00 ns, 976.9082 us/op
WorkloadPilot    6: 512 op, 496869303.00 ns, 970.4479 us/op
WorkloadPilot    7: 1024 op, 1008439916.00 ns, 984.8046 us/op

OverheadWarmup   1: 1024 op, 6302.00 ns, 6.1543 ns/op
OverheadWarmup   2: 1024 op, 3797.00 ns, 3.7080 ns/op
OverheadWarmup   3: 1024 op, 3727.00 ns, 3.6396 ns/op
OverheadWarmup   4: 1024 op, 3827.00 ns, 3.7373 ns/op
OverheadWarmup   5: 1024 op, 3847.00 ns, 3.7568 ns/op
OverheadWarmup   6: 1024 op, 3536.00 ns, 3.4531 ns/op
OverheadWarmup   7: 1024 op, 3537.00 ns, 3.4541 ns/op
OverheadWarmup   8: 1024 op, 3527.00 ns, 3.4443 ns/op

