// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore --nodeReuse:false /p:UseSharedCompilation=false /p:Deterministic=true /p:Optimize=true /p:ArtifactsPath="/home/paff/Projects/WinForward/benchmarks/WinForward.Benchmarks/bin/Release/net10.0/WinForward.Benchmarks-ShortRun-1/" /p:OutDir="/home/paff/Projects/WinForward/benchmarks/WinForward.Benchmarks/bin/Release/net10.0/WinForward.Benchmarks-ShortRun-1/bin/Release/net10.0/" /p:OutputPath="/home/paff/Projects/WinForward/benchmarks/WinForward.Benchmarks/bin/Release/net10.0/WinForward.Benchmarks-ShortRun-1/bin/Release/net10.0/" /p:PublishDir="/home/paff/Projects/WinForward/benchmarks/WinForward.Benchmarks/bin/Release/net10.0/WinForward.Benchmarks-ShortRun-1/publish/" in /home/paff/Projects/WinForward/benchmarks/WinForward.Benchmarks/bin/Release/net10.0/WinForward.Benchmarks-ShortRun-1
// command took 3.02 sec and exited with 0
// start dotnet  build -c Release --no-restore --nodeReuse:false /p:UseSharedCompilation=false /p:Deterministic=true /p:Optimize=true /p:ArtifactsPath="/home/paff/Projects/WinForward/benchmarks/WinForward.Benchmarks/bin/Release/net10.0/WinForward.Benchmarks-ShortRun-1/" /p:OutDir="/home/paff/Projects/WinForward/benchmarks/WinForward.Benchmarks/bin/Release/net10.0/WinForward.Benchmarks-ShortRun-1/bin/Release/net10.0/" /p:OutputPath="/home/paff/Projects/WinForward/benchmarks/WinForward.Benchmarks/bin/Release/net10.0/WinForward.Benchmarks-ShortRun-1/bin/Release/net10.0/" /p:PublishDir="/home/paff/Projects/WinForward/benchmarks/WinForward.Benchmarks/bin/Release/net10.0/WinForward.Benchmarks-ShortRun-1/publish/" --output "/home/paff/Projects/WinForward/benchmarks/WinForward.Benchmarks/bin/Release/net10.0/WinForward.Benchmarks-ShortRun-1/bin/Release/net10.0/" in /home/paff/Projects/WinForward/benchmarks/WinForward.Benchmarks/bin/Release/net10.0/WinForward.Benchmarks-ShortRun-1
// command took 32.21 sec and exited with 0
// ***** Done, took 00:00:35 (35.38 sec)   *****
// Found 6 benchmarks:
//   UdpSessionBenchmarks.PopulateSessionsAsync: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Sessions=1]
//   UdpSessionBenchmarks.PopulateSessionsNoopTransportAsync: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Sessions=1]
//   UdpSessionBenchmarks.PopulateSessionsAsync: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Sessions=100]
//   UdpSessionBenchmarks.PopulateSessionsNoopTransportAsync: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Sessions=100]
//   UdpSessionBenchmarks.PopulateSessionsAsync: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Sessions=1000]
//   UdpSessionBenchmarks.PopulateSessionsNoopTransportAsync: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Sessions=1000]

// **************************
// Benchmark: UdpSessionBenchmarks.PopulateSessionsAsync: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Sessions=1]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet WinForward.Benchmarks-ShortRun-1.dll --anonymousPipes 141 142 --benchmarkName "WinForward.Benchmarks.Perf.UdpSessionBenchmarks.PopulateSessionsAsync(Sessions: 1)" --job ShortRun --benchmarkId 0 in /home/paff/Projects/WinForward/benchmarks/WinForward.Benchmarks/bin/Release/net10.0/WinForward.Benchmarks-ShortRun-1/bin/Release/net10.0
// Failed to set up high priority (Permission denied). In order to run benchmarks with high priority, make sure you have the right permissions.
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.15.8
// Runtime=.NET 10.0.12 (10.0.12, 10.0.1226.42308), X64 RyuJIT x86-64-v4
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX512 BITALG+VBMI2+VNNI+VPOPCNTDQ,AVX512 IFMA+VBMI,AVX512 F+BW+CD+DQ+VL,AVX2+BMI1+BMI2+F16C+FMA+LZCNT+MOVBE,AVX,SSE3+SSSE3+SSE4.1+SSE4.2+POPCNT,X86Base+SSE+SSE2,AES+PCLMUL,AvxVnni VectorSize=256
// Job: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)

OverheadJitting  1: 1 op, 377491.00 ns, 377.4910 us/op
WorkloadJitting  1: 1 op, 150920301.00 ns, 150.9203 ms/op

WorkloadPilot    1: 2 op, 94517134.00 ns, 47.2586 ms/op
WorkloadPilot    2: 3 op, 142243602.00 ns, 47.4145 ms/op
WorkloadPilot    3: 4 op, 182186612.00 ns, 45.5467 ms/op
WorkloadPilot    4: 5 op, 231292870.00 ns, 46.2586 ms/op
WorkloadPilot    5: 6 op, 271237243.00 ns, 45.2062 ms/op
WorkloadPilot    6: 7 op, 324155415.00 ns, 46.3079 ms/op
WorkloadPilot    7: 8 op, 363275575.00 ns, 45.4094 ms/op
WorkloadPilot    8: 9 op, 412858963.00 ns, 45.8732 ms/op
WorkloadPilot    9: 10 op, 459752892.00 ns, 45.9753 ms/op
WorkloadPilot   10: 11 op, 490158710.00 ns, 44.5599 ms/op
WorkloadPilot   11: 12 op, 545888239.00 ns, 45.4907 ms/op

WorkloadWarmup   1: 12 op, 537555517.00 ns, 44.7963 ms/op
WorkloadWarmup   2: 12 op, 550899718.00 ns, 45.9083 ms/op
WorkloadWarmup   3: 12 op, 548773246.00 ns, 45.7311 ms/op

// BeforeActualRun
WorkloadActual   1: 12 op, 543649782.00 ns, 45.3041 ms/op
WorkloadActual   2: 12 op, 526918802.00 ns, 43.9099 ms/op
WorkloadActual   3: 12 op, 526962094.00 ns, 43.9135 ms/op

// AfterActualRun
WorkloadResult   1: 12 op, 543649782.00 ns, 45.3041 ms/op
WorkloadResult   2: 12 op, 526918802.00 ns, 43.9099 ms/op
WorkloadResult   3: 12 op, 526962094.00 ns, 43.9135 ms/op
// GC:  0 0 0 1961888 12
// Threading:  150 768 12
// Exceptions:  133

// AfterAll
// Benchmark Process 175070 has exited with code 0.

Mean = 44.376 ms, StdErr = 0.464 ms (1.05%), N = 3, StdDev = 0.804 ms
Min = 43.910 ms, Q1 = 43.912 ms, Median = 43.914 ms, Q3 = 44.609 ms, Max = 45.304 ms
IQR = 0.697 ms, LowerFence = 42.866 ms, UpperFence = 45.655 ms
ConfidenceInterval = [29.709 ms; 59.043 ms] (CI 99.9%), Margin = 14.667 ms (33.05% of Mean)
Skewness = 0.38, Kurtosis = 0.67, MValue = 2

// ** Remained 5 (83.3%) benchmark(s) to run. Estimated finish 2026-09-22 0:06 (0h 0m from now) **
// **************************
// Benchmark: UdpSessionBenchmarks.PopulateSessionsNoopTransportAsync: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Sessions=1]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet WinForward.Benchmarks-ShortRun-1.dll --anonymousPipes 141 142 --benchmarkName "WinForward.Benchmarks.Perf.UdpSessionBenchmarks.PopulateSessionsNoopTransportAsync(Sessions: 1)" --job ShortRun --benchmarkId 1 in /home/paff/Projects/WinForward/benchmarks/WinForward.Benchmarks/bin/Release/net10.0/WinForward.Benchmarks-ShortRun-1/bin/Release/net10.0
// Failed to set up high priority (Permission denied). In order to run benchmarks with high priority, make sure you have the right permissions.
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.15.8
// Runtime=.NET 10.0.12 (10.0.12, 10.0.1226.42308), X64 RyuJIT x86-64-v4
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX512 BITALG+VBMI2+VNNI+VPOPCNTDQ,AVX512 IFMA+VBMI,AVX512 F+BW+CD+DQ+VL,AVX2+BMI1+BMI2+F16C+FMA+LZCNT+MOVBE,AVX,SSE3+SSSE3+SSE4.1+SSE4.2+POPCNT,X86Base+SSE+SSE2,AES+PCLMUL,AvxVnni VectorSize=256
// Job: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)

OverheadJitting  1: 1 op, 251273.00 ns, 251.2730 us/op
WorkloadJitting  1: 1 op, 95214356.00 ns, 95.2144 ms/op

WorkloadPilot    1: 2 op, 90456501.00 ns, 45.2283 ms/op
WorkloadPilot    2: 3 op, 136691556.00 ns, 45.5639 ms/op
WorkloadPilot    3: 4 op, 182124293.00 ns, 45.5311 ms/op
WorkloadPilot    4: 5 op, 220582988.00 ns, 44.1166 ms/op
WorkloadPilot    5: 6 op, 268311018.00 ns, 44.7185 ms/op
WorkloadPilot    6: 7 op, 305819606.00 ns, 43.6885 ms/op
WorkloadPilot    7: 8 op, 351717701.00 ns, 43.9647 ms/op
